"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
NA,18,"existing credits paid back duly till now","furniture/equipment",1984,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,NA,47,"bank","for free",2,"skilled employee/official",1,"no","yes","yes"
NA,60,"existing credits paid back duly till now","radio/television",10144,"100 <= ... <  500 DM","4  <= ... < 7 years",0.02,"female","divorced/separated/married","none",4,"real estate",21,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,12,"critical account","radio/television",1240,NA,"... >= 7 years",0.04,"female","divorced/separated/married","none",2,"real estate",38,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,27,"delay in paying off in the past","car (used)",8613,"... >= 1000 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",27,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","radio/television",766,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",3,"real estate",66,"none","own",1,"unskilled - resident",1,"no","yes","no"
"0 <= ... < 200 DM",15,"critical account","radio/television",2728,NA,"4  <= ... < 7 years",0.04,"male","single","guarantor",2,"real estate",35,"bank","own",3,"skilled employee/official",1,"yes","yes","yes"
"... >= 200 DM",12,"existing credits paid back duly till now","radio/television",1881,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",2,"car or other",44,"none","rent",1,"unskilled - resident",1,"yes","yes","yes"
"... >= 200 DM",6,"existing credits paid back duly till now","car (new)",709,"... >= 1000 DM","... < 1 year",0.02,"male","married/widowed","none",2,"real estate",27,"none","own",1,"unemployed/unskilled - non-resident",1,"no","no","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","radio/television",4795,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",1,NA,30,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",27,"existing credits paid back duly till now","radio/television",3416,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"car or other",27,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"no","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",2462,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"car or other",22,"none","own",1,"skilled employee/official",1,"no","yes","no"
NA,21,"critical account","furniture/equipment",2288,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",23,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",48,"all credits at this bank paid back duly","business",3566,"100 <= ... <  500 DM","4  <= ... < 7 years",0.04,"male","single","none",2,"car or other",30,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",6,"critical account","car (new)",860,"... <  100 DM","... >= 7 years",0.01,"female","divorced/separated/married","none",4,NA,39,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,12,"critical account","car (new)",682,"100 <= ... <  500 DM","4  <= ... < 7 years",0.04,"female","divorced/separated/married","none",3,"car or other",51,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",36,"critical account","furniture/equipment",5371,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","guarantor",2,"building society savings agreement/life insurance",28,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,18,"critical account","radio/television",1582,"... >= 1000 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",46,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,6,"existing credits paid back duly till now","radio/television",1346,"100 <= ... <  500 DM","... >= 7 years",0.02,"male","single","none",4,NA,42,"bank","for free",1,"skilled employee/official",2,"yes","yes","yes"
NA,10,"existing credits paid back duly till now","radio/television",1924,"... <  100 DM","1  <= ... < 4 years",0.01,"male","single","none",4,"building society savings agreement/life insurance",38,"none","own",1,"skilled employee/official",1,"yes","no","yes"
"... >= 200 DM",36,"existing credits paid back duly till now","radio/television",5848,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",1,"car or other",24,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"critical account","car (used)",7758,"... >= 1000 DM","... >= 7 years",0.02,"female","divorced/separated/married","none",4,NA,29,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"delay in paying off in the past","business",6967,"100 <= ... <  500 DM","4  <= ... < 7 years",0.04,"male","single","none",4,"car or other",36,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",1282,"... <  100 DM","1  <= ... < 4 years",0.02,"female","divorced/separated/married","none",4,"car or other",20,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",9,"critical account","repairs",1288,"100 <= ... <  500 DM","... >= 7 years",0.03,"male","single","guarantor",4,"real estate",48,"none","own",2,"skilled employee/official",2,"no","no","yes"
"... < 0 DM",12,"all credits at this bank paid back duly","retraining",339,"... <  100 DM","... >= 7 years",0.04,"male","married/widowed","none",1,"car or other",45,"bank","own",1,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (new)",3512,"100 <= ... <  500 DM","4  <= ... < 7 years",0.02,"male","single","none",3,"car or other",38,"bank","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,6,"critical account","radio/television",1898,NA,"1  <= ... < 4 years",0.01,"male","single","none",2,"real estate",34,"none","own",2,"unskilled - resident",2,"no","yes","yes"
NA,24,"critical account","radio/television",2872,"100 <= ... <  500 DM","... >= 7 years",0.03,"male","single","none",4,"real estate",36,"none","own",1,"skilled employee/official",2,"yes","yes","yes"
NA,18,"critical account","car (new)",1055,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",1,"building society savings agreement/life insurance",30,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,15,"existing credits paid back duly till now","domestic appliances",1262,"500 <= ... < 1000 DM","4  <= ... < 7 years",0.04,"male","single","none",3,"building society savings agreement/life insurance",36,"none","own",2,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",10,"existing credits paid back duly till now","car (new)",7308,"... <  100 DM","unemployed",0.02,"male","single","none",4,NA,70,"bank","for free",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,36,"existing credits paid back duly till now","car (new)",909,"500 <= ... < 1000 DM","... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",36,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,6,"existing credits paid back duly till now","furniture/equipment",2978,"500 <= ... < 1000 DM","1  <= ... < 4 years",0.01,"male","single","none",2,"car or other",32,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",18,"existing credits paid back duly till now","furniture/equipment",1131,"... <  100 DM","unemployed",0.04,"female","divorced/separated/married","none",2,"car or other",33,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",11,"existing credits paid back duly till now","furniture/equipment",1577,"... >= 1000 DM","... < 1 year",0.04,"female","divorced/separated/married","none",1,"real estate",20,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,24,"existing credits paid back duly till now","furniture/equipment",3972,"... <  100 DM","4  <= ... < 7 years",0.02,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",25,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",24,"critical account","business",1935,"... <  100 DM","... >= 7 years",0.04,"male","divorced/separated","none",4,"real estate",31,"none","own",2,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",15,"no credits taken","car (new)",950,"... <  100 DM","... >= 7 years",0.04,"male","single","none",3,"car or other",33,"none","rent",2,"skilled employee/official",2,"no","yes","no"
NA,12,"existing credits paid back duly till now","furniture/equipment",763,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",1,"real estate",26,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",24,"delay in paying off in the past","furniture/equipment",2064,"... <  100 DM","unemployed",0.03,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",34,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"0 <= ... < 200 DM",8,"existing credits paid back duly till now","radio/television",1414,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","guarantor",2,"real estate",33,"none","own",1,"skilled employee/official",1,"no","no","yes"
"... < 0 DM",21,"delay in paying off in the past","education",3414,"... <  100 DM","... < 1 year",0.02,"male","single","none",1,"building society savings agreement/life insurance",26,"none","own",2,"skilled employee/official",1,"no","yes","no"
NA,30,"all credits at this bank paid back duly","car (used)",7485,NA,"unemployed",0.04,"female","divorced/separated/married","none",1,"real estate",53,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... < 0 DM",12,"existing credits paid back duly till now","furniture/equipment",2577,"... <  100 DM","1  <= ... < 4 years",0.02,"male","divorced/separated","none",1,"car or other",42,"none","own",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",6,"critical account","radio/television",338,"500 <= ... < 1000 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",52,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,12,"existing credits paid back duly till now","radio/television",1963,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",2,"car or other",31,"none","rent",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
"... < 0 DM",21,"critical account","car (new)",571,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"real estate",65,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,36,"delay in paying off in the past","business",9572,"... <  100 DM","... < 1 year",0.01,"male","divorced/separated","none",1,"car or other",28,"none","own",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",36,"delay in paying off in the past","business",4455,"... <  100 DM","1  <= ... < 4 years",0.02,"male","divorced/separated","none",2,"real estate",30,"stores","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... < 0 DM",21,"all credits at this bank paid back duly","car (new)",1647,NA,"1  <= ... < 4 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",40,"none","own",2,"unskilled - resident",2,"no","yes","no"
NA,24,"critical account","furniture/equipment",3777,"... >= 1000 DM","1  <= ... < 4 years",0.04,"male","single","none",4,"real estate",50,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"0 <= ... < 200 DM",18,"critical account","car (new)",884,"... <  100 DM","... >= 7 years",0.04,"male","single","none",4,"car or other",36,"bank","own",1,"skilled employee/official",2,"yes","yes","no"
NA,15,"critical account","radio/television",1360,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",31,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"all credits at this bank paid back duly","car (used)",5129,"... <  100 DM","... >= 7 years",0.02,"female","divorced/separated/married","none",4,NA,74,"bank","for free",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","no"
"0 <= ... < 200 DM",16,"critical account","car (new)",1175,"... <  100 DM","unemployed",0.02,"male","single","none",3,"car or other",68,"none","for free",3,"unemployed/unskilled - non-resident",1,"yes","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","radio/television",674,"100 <= ... <  500 DM","4  <= ... < 7 years",0.04,"male","married/widowed","none",1,"building society savings agreement/life insurance",20,"none","own",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",18,"no credits taken","furniture/equipment",3244,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",4,"car or other",33,"bank","own",2,"skilled employee/official",1,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","business",4591,"... >= 1000 DM","1  <= ... < 4 years",0.02,"male","single","none",3,"building society savings agreement/life insurance",54,"none","own",3,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
